key,kind,routed,P_hat,obs_R,n_events,fap_ref,fap_evt,P_true,period_match,tic,baseline,bbin,fap_lut
52194213_P4.0_R2_36,inj,True,0.7986980757033127,0.4151178879075626,34.0,0.2967032967032967,0.3564356435643564,4.0,False,52194213,56.220398981480685,3,0.4296425893526618
220399756_P4.0_R2_44,inj,True,0.6201625733043177,0.9450247804672496,5.0,0.0139860139860139,0.0594241099680007,4.0,False,220399756,27.35032048611174,0,0.1804548862784304
164772943_P4.0_R2_45,inj,True,1.5020561468151168,0.5176251586418192,15.0,0.3726273726273726,0.3762376237623762,4.0,False,164772943,27.350209351854573,0,0.7438140464883779
52307802_P4.0_R2_38,inj,True,0.5698831619264598,0.4120895998550686,36.0,0.1218781218781218,0.1287128712871287,4.0,False,52307802,56.22056484953646,3,0.3551612096975756
150066811_P4.0_R2_46,inj,True,0.95894310942991,0.7116069360227678,9.0,0.2207792207792207,0.2475247524752475,4.0,False,150066811,27.35004383102205,0,0.46663334166458387
40059019_P4.0_R2_47,inj,True,1.078278359026058,0.953883511026274,4.0,0.2217782217782218,0.2079207920792079,4.0,False,40059019,27.346747546296683,0,0.4833791552111972
408049337_P0.5_R4_49,inj,True,0.5002831960497324,0.964262793032627,29.0,0.0009990009990009,1e-06,0.5,True,408049337,27.350035405092058,0,0.00024993751562109475
425938730_P4.0_R2_43,inj,True,0.9973187738634508,0.4512889529814967,35.0,0.0619380619380619,0.0623191928415692,4.0,False,425938730,56.22060417824105,3,0.1419645088727818
101930558_P0.5_R4_50,inj,True,0.500565897063484,0.9868476376718964,46.0,0.0009990009990009,3.368559495503177e-06,0.5,True,101930558,27.407112986111315,0,0.00024993751562109475
179823111_P0.5_R4_51,inj,True,0.500282943658678,0.99335673775115,47.0,0.0009990009990009,1e-06,0.5,True,179823111,27.407271168980515,0,0.00024993751562109475
268765642_P0.5_R4_54,inj,True,0.5010251784591793,0.932608518841012,30.0,0.0009990009990009,1e-06,0.5,True,268765642,27.35043502314511,0,0.00024993751562109475
70420258_P0.5_R4_55,inj,True,0.5007124897600189,0.8982496175156663,47.0,0.0009990009990009,1e-06,0.5,True,70420258,27.883651203701447,0,0.00024993751562109475
311883977_P0.5_R4_58,inj,True,0.5028386852404233,0.7600260005315242,31.0,0.0009990009990009,1e-06,0.5,True,311883977,27.35034642361279,0,0.00024993751562109475
161291273_P0.5_R4_56,inj,True,0.5033434749184502,0.4425013840128344,26.0,0.2277722277722277,0.2871287128712871,0.5,True,161291273,27.883493946763338,0,0.40114971257185705
150301109_P0.5_R4_48,inj,True,0.5001514244562011,0.9873898876880868,120.0,0.0009990009990009,1e-06,0.5,True,150301109,84.09078100694751,3,0.00024993751562109475
