tic,fap_ref,routed,Lambda,shape_pass,n_transits,fap_gate_pass
231044412,0.1538461538461538,False,0.0,False,0,
231045282,0.4415584415584415,True,3.740289808651499,True,10,False
231048679,0.5264735264735265,True,1.5077022881762192,True,34,False
231057252,0.5224775224775224,False,0.0,False,0,
231059941,0.0859140859140859,False,0.0,False,0,
231268284,0.2347652347652347,False,0.0,False,0,
231627272,0.3496503496503496,False,0.0,False,0,
231627290,0.1608391608391608,False,0.0,False,0,
231630959,0.2967032967032967,False,0.0,False,0,
231636691,0.1318681318681318,False,0.0,False,0,
231668630,0.2307692307692307,False,0.0,False,0,
231701201,0.1318681318681318,False,0.0,False,0,
231704059,0.2427572427572427,False,0.0,False,0,
231704229,0.5094905094905094,False,0.0,False,0,
231715395,0.1478521478521478,True,149.72084533858768,True,26,False
231839537,0.5454545454545454,False,0.0,False,0,
231840159,0.3706293706293706,False,0.0,False,0,
231840839,0.3566433566433566,False,0.0,False,0,
231845790,0.0609390609390609,True,2.3016257035427614,True,7,False
231825380,0.944055944055944,False,0.0,False,0,
231831114,0.3506493506493506,False,0.0,False,0,
231831315,0.6723276723276723,True,1.2518334230913526,True,76,False
231832497,0.5754245754245755,True,1.5660580803364275,True,72,False
234525922,0.3496503496503496,False,0.0,False,0,
237340658,0.4155844155844156,False,0.0,False,0,
237356492,0.5504495504495505,False,0.0,False,0,
237358181,0.7042957042957043,False,0.0,False,0,
231853796,0.6743256743256744,False,0.0,False,0,
231862051,0.2057942057942058,False,0.0,False,0,
231867105,0.3866133866133866,True,0.0,True,32,False
231912935,0.7282717282717283,True,0.0,True,92,False
237906842,0.6343656343656343,False,0.0,False,0,
240849795,0.1118881118881118,False,0.0,False,0,
241393007,0.8491508491508492,False,0.0,False,0,
241444142,0.6333666333666333,False,0.0,False,0,
233959314,0.8351648351648352,True,2.191769819751045,True,86,False
233961272,0.1748251748251748,False,0.0,False,0,
234497476,0.0089910089910089,False,0.0,False,0,
234504902,0.7952047952047953,True,22.28097432360439,False,6,False
237879824,0.2357642357642357,True,3.9257415590687055,True,4,False
237883766,0.5054945054945055,False,0.0,False,0,
237886259,0.4115884115884116,False,0.0,False,0,
237886434,0.3156843156843157,False,0.0,False,0,
241577342,0.5644355644355644,False,0.0,False,0,
241765380,0.7022977022977023,True,11.781695823681158,True,9,False
24186466,0.5364635364635365,False,0.0,False,0,
24225968,0.2477522477522477,True,16.668022326624534,True,4,False
24269255,0.3906093906093906,True,27.970357768986286,True,3,False
24270027,0.2387612387612387,False,0.0,False,0,
246820769,0.7112887112887113,False,0.0,False,0,
246822906,0.1838161838161838,False,0.0,False,0,
246848176,0.4475524475524475,False,0.0,False,0,
246851853,0.2287712287712287,False,0.0,False,0,
246862277,0.4935064935064935,False,0.0,False,0,
246862438,0.1848151848151848,False,0.0,False,0,
248945424,0.4755244755244755,False,0.0,False,0,
248946014,0.5004995004995005,False,0.0,False,0,
248947399,0.5564435564435565,False,0.0,False,0,
248949078,0.4275724275724276,False,0.0,False,0,
246883482,0.3006993006993007,False,0.0,False,0,
24696180,0.4125874125874126,True,0.3604675917092308,True,90,False
248380067,0.8471528471528471,False,0.0,False,0,
248392812,0.3046953046953047,False,0.0,False,0,
248952191,0.7192807192807192,False,0.0,False,0,
248952560,0.5514485514485514,False,0.0,False,0,
248953025,0.6903096903096904,False,0.0,False,0,
248955543,0.0199800199800199,False,0.0,False,0,
248956869,0.5044955044955045,False,0.0,False,0,
248959076,0.4745254745254745,True,4.629300568049382,False,25,False
248962024,0.5104895104895105,False,0.0,False,0,
248962582,0.3376623376623376,False,0.0,False,0,
248987739,0.2377622377622377,False,0.0,False,0,
251821926,0.2577422577422577,False,0.0,False,0,
251828729,0.4465534465534465,False,0.0,False,0,
251828912,0.2367632367632367,False,0.0,False,0,
251840720,0.4315684315684315,False,0.0,False,0,
251844875,0.0869130869130869,False,0.0,False,0,
251845125,0.1688311688311688,True,5.824346451572947,True,6,False
251885542,0.2937062937062937,False,0.0,False,0,
251886567,0.4045954045954046,False,0.0,False,0,
251886984,0.2037962037962038,True,13.739838294193651,True,6,False
251887089,0.7082917082917083,False,0.0,False,0,
254302983,0.3596403596403596,False,0.0,False,0,
259472825,0.4315684315684315,False,0.0,False,0,
259472888,0.1508491508491508,False,0.0,False,0,
259477227,0.4285714285714285,False,0.0,False,0,
259592530,,False,0.0,False,0,
260750374,0.5094905094905094,False,0.0,False,0,
260854590,0.7342657342657343,False,0.0,False,0,
261543672,0.6553446553446554,True,0.05828794226250981,True,39,False
262810040,0.3306693306693307,False,0.0,False,0,
260507598,0.1058941058941058,True,34.43976838588564,True,2,False
260507876,0.8961038961038961,True,1.1319955850518764,True,3,False
260604507,0.8541458541458542,False,0.0,False,0,
260604509,0.4955044955044955,False,0.0,False,0,
262824477,0.2947052947052947,True,0.0,True,38,False
265438551,0.5274725274725275,False,0.0,False,0,
