tic,P,Rp,b,k,t14_seeded,Lb,obs_R,P_hat,P_true,fap_sealed,fap_full,fap_cur,bitexact,gate_sealed,gate_full,gate_cur,n_cur,curtailed,t_sealed,t_full,t_cur
139844443,4.0,8,0.3,6,0.1,0.30000000000000004,0.980314083155686,4.072976687847182,4.0,0.004995004995004995,0.004995004995004995,0.004995004995004995,True,True,True,True,1000,False,13.428555000000017,1.9955509999999776,1.999908000000005
207090424,4.0,8,0.6,7,0.1,0.30000000000000004,0.9908150147473073,0.5720072810163098,4.0,0.011988011988011988,0.011988011988011988,0.01098901098901099,True,False,False,False,699,True,12.663748999999996,2.0077780000000303,1.3889760000000138
401986029,4.0,8,0.0,8,0.1,0.30000000000000004,0.9754721897437612,4.045145404933858,4.0,0.028971028971028972,0.028971028971028972,0.01098901098901099,True,False,False,False,312,True,13.315257999999972,1.975424999999973,0.6259780000000319
219317391,4.0,8,0.6,6,0.05,0.15000000000000002,0.988764609560726,1.3410945182236431,4.0,0.006993006993006993,0.006993006993006993,0.006993006993006993,True,True,True,True,1000,False,13.730713999999978,1.8798249999999825,1.8671090000000277
231912935,4.0,8,0.0,16,0.1,0.30000000000000004,0.882744856424351,3.9608991170888683,4.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,28.366651999999988,3.7735870000000205,3.76942200000002
355508749,4.0,12,0.3,6,0.1,0.30000000000000004,0.9911561001563366,4.048605327238352,4.0,0.011988011988011988,0.011988011988011988,0.01098901098901099,True,False,False,False,692,True,13.717641000000015,2.027638999999965,1.3878300000000081
270269007,4.0,12,0.6,6,0.05,0.15000000000000002,0.9912868598646203,4.050378001706694,4.0,0.005994005994005994,0.005994005994005994,0.005994005994005994,True,True,True,True,1000,False,13.153022000000021,1.6858419999999796,1.6918390000000159
278990983,4.0,8,0.0,10,0.2,0.6000000000000001,0.9900228935217426,4.022426201865057,4.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,24.225435000000004,3.114810000000034,3.127761000000021
66410290,4.0,12,0.3,7,0.2,0.6000000000000001,0.9839408026956015,4.046785259124618,4.0,0.02097902097902098,0.02097902097902098,0.01098901098901099,True,False,False,False,463,True,12.636076000000003,2.074858000000006,0.9616740000000163
219334689,4.0,12,0.0,16,0.05,0.15000000000000002,0.8059059246774125,0.5721128529463647,4.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,26.870145000000036,3.581041999999968,3.5946259999999484
