tic,P,Rp,b,k_inj,k_host,obs_R,fap_contaminated,fap_clean,ge_contaminated,ge_clean,gate_contaminated,gate_clean,n_transits
164768954,16.0,2,0.3,2,1,1.0,0.16183816183816183,0.13186813186813187,161,131,False,False,2
268765642,16.0,8,0.3,3,2,0.9999541617694763,0.12987012987012986,0.17782217782217782,129,177,False,False,2
114918596,16.0,8,0.0,7,4,0.7467877605844588,0.7942057942057942,0.5434565434565435,794,543,False,False,2
251828912,16.0,8,0.6,2,1,0.9885120156490452,0.20279720279720279,0.15784215784215785,202,157,False,False,2
199729914,16.0,4,0.3,3,0,0.9920321351685839,0.20679320679320679,0.23476523476523475,206,234,False,False,4
150359212,16.0,2,0.0,7,4,0.955664295337794,0.08391608391608392,0.4945054945054945,83,494,False,False,5
375059160,16.0,4,0.3,6,4,0.9653488082394782,0.11888111888111888,0.5034965034965035,118,503,False,False,5
115693639,16.0,12,0.6,3,0,0.9871480684230024,0.24175824175824176,0.005994005994005994,241,5,False,True,2
248955543,16.0,12,0.3,2,1,0.9999999999999999,0.13386613386613386,0.16983016983016982,133,169,False,False,2
150274632,16.0,4,0.6,5,5,0.8905348665713303,0.41058941058941056,0.4165834165834166,410,416,False,False,5
150104808,16.0,8,0.0,7,7,0.8073530208306928,0.025974025974025976,0.01998001998001998,25,19,False,False,5
100123131,16.0,12,0.0,5,1,0.9871153805230505,0.056943056943056944,0.23576423576423577,56,235,False,False,4
279091054,16.0,12,0.0,8,3,0.7562933209807488,0.5224775224775224,0.7782217782217782,522,778,False,False,4
100101948,16.0,12,0.6,3,2,0.9971605445084559,0.13986013986013987,0.2547452547452547,139,254,False,False,4
