tic,P,Rp,b,seed,k,obs_R,obs_span,obs_nfreq,P_hat,period_match,epoch_match,seed_correct,t14_seeded,t0_hat,Lb,P_true,t0_true,t14_true,n_transits,gR,gW,recR,recW,baseline,sector_class
199729914,0.5,4,0.6,20260705,77,0.9931694598044344,49.01666547285003,289,0.5002909781138638,True,False,False,0.05,1360.4438335134123,0.15,0.5,1403.4462093885927,0.0350406000701345,100,True,True,False,False,49.60415174381478,2-sector
150274632,0.5,4,0.0,20260706,6,0.8352487257107042,47.76141309756463,283,2.7739047268481154,False,False,False,0.1,1396.7441744000942,0.3,0.5,1366.777774417664,0.1176755918396336,157,False,False,False,False,78.4185033355493,2-sector
248955543,0.5,8,0.6,20260717,32,0.9419290514678632,17.004357406789495,97,0.5014094293739785,True,False,False,0.05,1387.5497828517214,0.15,0.5,1395.0452239212004,0.0304907626203305,36,True,True,False,False,17.77658540700577,1-sector
100101948,0.5,8,0.0,20260718,79,0.9712016060813956,49.01120613161902,289,0.5002364051897897,True,True,True,0.05,1378.8466483198551,0.15,0.5,1396.3451127286644,0.072904567724704,100,True,True,True,True,49.60427103086977,2-sector
389527466,0.5,8,0.6,20260723,49,0.9665080553831552,24.996779312970375,145,0.5001619843660371,True,True,True,0.05,1336.737178262296,0.15,0.5,1336.7359650749204,0.1053443137661357,51,True,True,True,True,25.28288650492823,1-sector
100123131,0.5,8,0.3,20260713,78,0.9960329591579222,49.498752026183865,292,0.5000088887986244,True,True,True,0.05,1373.4132270325852,0.15,0.5,1365.9178119143796,0.0378997880596714,100,True,True,True,True,49.604306371534676,2-sector
160113035,0.5,8,0.6,20260714,47,0.9836666484050302,23.99019957004521,139,0.5005611852665222,True,True,True,0.05,1375.2671091282489,0.15,0.5,1378.767462694138,0.0719184437643997,50,True,True,True,True,24.904083196107422,1-sector
115693639,0.5,8,0.0,20260715,47,0.9967766096029828,24.493220960453527,142,0.5001986778178426,True,True,True,0.05,1364.069797450908,0.15,0.5,1359.5696953931972,0.0620664155577654,50,True,True,True,True,24.904334066469346,1-sector
279091054,0.5,8,0.3,20260716,71,0.9812437426518056,49.01438497120443,289,0.5002685591939968,True,True,True,0.05,1368.757398455976,0.15,0.5,1359.2398794223243,0.1130073767495506,100,True,True,True,True,49.60605741970858,2-sector
40182390,0.5,8,0.3,20260719,31,0.9558751437121484,16.98030156780669,97,0.5007371158833724,True,True,True,0.05,1389.6457695122212,0.15,0.5,1394.6422166416758,0.0673131597190777,36,True,True,True,True,17.774734104913023,1-sector
161174069,0.5,8,0.6,20260720,48,0.9776338617005844,24.99597525932859,145,0.5002217232409495,True,True,True,0.05,1331.7377950183795,0.15,0.5,1342.233562347128,0.0684027947995943,51,True,True,True,True,25.379309548749916,1-sector
3836364,0.5,8,0.0,20260721,31,0.9867136595379482,16.992872461440584,97,0.5010870306263373,True,False,False,0.05,1387.4513389729275,0.15,0.5,1399.4518213764604,0.0423959562601482,36,True,True,False,False,17.774802758287933,1-sector
70776480,0.5,8,0.3,20260722,46,0.987128845148,23.98752331404694,139,0.5005076740981454,True,True,True,0.05,1362.7380757618216,0.15,0.5,1373.752333041605,0.1079426800117583,50,True,True,True,True,24.904188466292,1-sector
20923934,0.5,8,0.3,20260725,32,0.9939600637295166,17.505181105832207,100,0.5005816346732032,True,True,True,0.05,1397.7773254062497,0.15,0.5,1399.7742820865103,0.0487075594827755,36,True,True,True,True,17.7746171843487,1-sector
218968119,0.5,8,0.6,20260726,47,0.9709348062365616,23.98717272548356,139,0.5005003604607928,True,True,True,0.05,1364.306470873276,0.15,0.5,1372.8071028599652,0.0478590855148876,50,True,True,True,True,24.903826349448536,1-sector
